basin,Realm,temp_mean,discharge,altitude,pH,conductivity
Neot_01,Neotropical,26.1,107.3,707.0,7.1,128.0
Neot_02,Neotropical,27.6,145.2,497.0,6.6,387.0
Neot_03,Neotropical,24.7,224.6,269.0,7.4,422.0
Neot_04,Neotropical,22.8,31.6,859.0,6.9,378.0
Neot_05,Neotropical,26.7,418.9,1402.0,7.7,222.0
Neot_06,Neotropical,28.5,357.9,1345.0,7.6,586.0
Neot_07,Neotropical,28.0,235.5,272.0,8.1,556.0
Neot_08,Neotropical,25.7,230.5,1372.0,7.9,306.0
Near_01,Nearctic,9.9,115.8,1724.0,7.7,552.0
Near_02,Nearctic,11.1,351.3,1334.0,8.1,535.0
Near_03,Nearctic,11.6,20.0,956.0,7.2,304.0
Near_04,Nearctic,9.4,385.1,1213.0,6.8,107.0
Near_05,Nearctic,14.5,399.4,658.0,7.8,486.0
Near_06,Nearctic,12.3,203.4,833.0,7.7,351.0
Near_07,Nearctic,15.8,195.0,688.0,8.1,375.0
Near_08,Nearctic,14.3,220.5,1577.0,7.6,180.0
Pale_01,Palearctic,11.3,43.6,1862.0,7.6,318.0
Pale_02,Palearctic,10.7,234.1,1115.0,8.1,147.0
Pale_03,Palearctic,13.6,39.5,226.0,8.1,474.0
Pale_04,Palearctic,9.0,249.7,1324.0,6.7,499.0
Pale_05,Palearctic,13.1,452.1,1276.0,6.5,131.0
Pale_06,Palearctic,7.2,268.0,786.0,7.7,158.0
Pale_07,Palearctic,11.5,161.7,1145.0,8.3,218.0
Pale_08,Palearctic,13.5,220.2,1965.0,7.2,99.0
Ethi_01,Ethiopian,20.1,493.3,814.0,6.8,212.0
Ethi_02,Ethiopian,23.0,276.7,116.0,7.9,501.0
Ethi_03,Ethiopian,22.9,431.3,1733.0,7.0,436.0
Ethi_04,Ethiopian,23.2,162.5,772.0,7.3,350.0
Ethi_05,Ethiopian,25.3,240.1,385.0,7.3,558.0
Ethi_06,Ethiopian,26.7,81.4,1995.0,7.8,124.0
Ethi_07,Ethiopian,20.6,12.8,1445.0,7.5,290.0
Ethi_08,Ethiopian,27.9,46.9,1288.0,7.3,301.0
Orie_01,Oriental,24.3,304.2,857.0,6.9,330.0
Orie_02,Oriental,22.4,227.8,717.0,6.9,383.0
Orie_03,Oriental,22.6,424.2,481.0,7.5,276.0
Orie_04,Oriental,22.4,186.7,1957.0,7.6,438.0
Orie_05,Oriental,18.9,243.4,1384.0,6.8,452.0
Orie_06,Oriental,25.9,491.9,1560.0,7.4,93.0
Orie_07,Oriental,25.1,48.8,950.0,8.0,578.0
Orie_08,Oriental,18.6,318.7,1598.0,7.1,79.0
Aust_01,Australian,14.7,390.4,943.0,7.5,308.0
Aust_02,Australian,17.9,213.4,1922.0,8.1,209.0
Aust_03,Australian,12.3,461.8,1501.0,8.0,360.0
Aust_04,Australian,12.5,239.2,346.0,6.6,595.0
Aust_05,Australian,18.5,314.0,581.0,6.7,328.0
Aust_06,Australian,18.8,142.5,274.0,7.1,522.0
Aust_07,Australian,12.1,60.2,357.0,7.7,133.0
Aust_08,Australian,15.6,404.9,530.0,7.9,317.0
