species,PFT,SLA,LDMC,LeafN,Height,LSWC,SeedMass,IUCN_status
Dryas_octopetala,PFT_stress,12.35,340.3,21.32,5.1,2.243,0.3595,VU
Carex_firma,PFT_stress,13.76,298.8,21.33,5.8,2.357,0.6338,EN
Sesleria_caerulea,PFT_stress,8.02,339.7,12.9,5.7,3.161,0.1936,CR
Aster_alpinus,PFT_stress,9.38,338.5,15.24,7.2,2.711,0.4137,VU
Androsace_helvetica,PFT_stress,10.6,330.0,18.05,13.0,2.535,0.5654,LC
Saxifraga_oppositifolia,PFT_stress,12.68,280.8,18.35,3.8,1.961,0.4511,EN
Festuca_rubra,PFT_grass,28.47,191.3,26.21,38.9,4.657,0.7205,NT
Poa_alpina,PFT_grass,26.43,221.5,25.9,34.5,4.562,0.735,EN
Deschampsia_cespitosa,PFT_grass,19.79,227.0,23.82,46.5,3.72,1.1407,LC
Nardus_stricta,PFT_grass,19.1,235.7,29.61,36.0,4.523,1.043,LC
Agrostis_capillaris,PFT_grass,19.86,240.5,24.34,42.9,4.314,0.8804,VU
Phleum_alpinum,PFT_grass,20.1,229.7,27.34,33.9,4.417,0.5977,LC
Rumex_alpinus,PFT_ruderal,25.36,148.4,36.13,46.0,6.916,1.172,LC
Chenopodium_bonus,PFT_ruderal,19.49,179.7,29.73,23.8,8.588,0.4462,LC
Stellaria_media,PFT_ruderal,34.34,102.0,37.33,16.0,6.385,1.2978,LC
Polygonum_viviparum,PFT_ruderal,32.93,140.3,40.21,28.2,4.895,0.8663,LC
Ranunculus_acris,PFT_ruderal,28.01,155.1,35.61,35.2,6.961,1.0083,LC
Veronica_alpina,PFT_ruderal,28.01,150.2,25.78,25.4,6.726,1.8154,LC
Vaccinium_myrtillus,PFT_shrub,17.82,200.6,21.45,20.8,3.146,0.4772,LC
Rhododendron_ferrugineum,PFT_shrub,10.19,358.4,15.35,30.5,3.382,0.5695,VU
Calluna_vulgaris,PFT_shrub,14.08,296.7,25.64,33.3,3.575,0.6539,VU
Empetrum_nigrum,PFT_shrub,10.19,356.6,18.03,11.2,2.779,0.5433,NT
Loiseleuria_procumbens,PFT_shrub,14.04,230.5,21.17,20.7,2.229,0.2409,LC
Arctostaphylos_uva_ursi,PFT_shrub,12.1,327.9,17.54,23.5,3.451,0.7563,LC
Crocus_albiflorus,PFT_geophyte,19.2,153.7,28.89,11.9,5.833,1.4801,VU
Narcissus_poeticus,PFT_geophyte,14.37,212.9,26.88,12.2,3.814,2.2341,LC
Lilium_martagon,PFT_geophyte,16.03,210.7,30.04,12.0,4.922,2.1522,EN
Gentiana_nivalis,PFT_geophyte,21.83,227.3,26.85,23.5,5.772,4.0504,LC
Soldanella_alpina,PFT_geophyte,16.64,223.0,31.31,16.5,5.149,3.5141,VU
Anemone_narcissiflora,PFT_geophyte,22.59,185.4,32.05,18.2,5.484,3.7633,EN
