ObsDataID,AccSpeciesID,AccSpeciesName,TraitID,TraitName,StdValue,UnitName,Reference
1,10054,Dryas octopetala,3117,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole excluded",11.1036,mm2 mg-1,GLORIA network 2019
2,10054,Dryas octopetala,3117,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole excluded",12.7788,mm2 mg-1,GLORIA network 2019
3,10054,Dryas octopetala,3117,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole excluded",12.7655,mm2 mg-1,Alpine trait survey CNRS 2021
4,10054,Dryas octopetala,47,"Leaf dry mass per leaf fresh mass (leaf dry matter content, LDMC)",316.0364,mg g-1,Alpine trait survey CNRS 2021
5,10054,Dryas octopetala,47,"Leaf dry mass per leaf fresh mass (leaf dry matter content, LDMC)",329.6361,mg g-1,Alpine trait survey CNRS 2021
6,10054,Dryas octopetala,14,Leaf nitrogen (N) content per leaf dry mass,20.9275,mg g-1,TRY contributor: Kattge et al. 2020
7,10054,Dryas octopetala,14,Leaf nitrogen (N) content per leaf dry mass,22.3067,mg g-1,LEFE Toulouse field campaign 2022
8,10054,Dryas octopetala,14,Leaf nitrogen (N) content per leaf dry mass,20.0872,mg g-1,Alpine trait survey CNRS 2021
9,10054,Dryas octopetala,14,Leaf nitrogen (N) content per leaf dry mass,23.3721,mg g-1,Alpine trait survey CNRS 2021
10,10054,Dryas octopetala,3106,Plant height vegetative,4.8237,cm,GLORIA network 2019
11,10054,Dryas octopetala,3106,Plant height vegetative,5.3963,cm,TRY contributor: Kattge et al. 2020
12,10054,Dryas octopetala,3106,Plant height vegetative,5.166,cm,TRY contributor: Kattge et al. 2020
13,10054,Dryas octopetala,3106,Plant height vegetative,4.9534,cm,LEFE Toulouse field campaign 2022
14,10054,Dryas octopetala,6,Leaf water content per leaf fresh mass (LSWC): leaf water content,2.2488,g g-1,GLORIA network 2019
15,10054,Dryas octopetala,6,Leaf water content per leaf fresh mass (LSWC): leaf water content,2.5077,g g-1,LEFE Toulouse field campaign 2022
16,10054,Dryas octopetala,6,Leaf water content per leaf fresh mass (LSWC): leaf water content,2.1756,g g-1,GLORIA network 2019
17,10054,Dryas octopetala,26,Seed dry mass,0.3118,mg,GLORIA network 2019
18,10054,Dryas octopetala,26,Seed dry mass,0.3257,mg,Alpine trait survey CNRS 2021
19,10054,Dryas octopetala,26,Seed dry mass,0.3512,mg,TRY contributor: Kattge et al. 2020
