plot_id,elevation,aspect,slope,MAT,MAP,soil_pH,soil_N,disturbance
P01,1410,W,20.2,9.02,915,7.16,2.811,0.599
P02,1418,N,13.2,8.31,992,7.3,2.699,0.282
P03,1420,W,12.0,8.33,884,7.2,2.583,0.317
P04,1521,W,29.2,7.19,923,6.67,2.634,0.933
P05,1555,E,26.9,7.74,896,7.54,2.582,0.539
P06,1569,E,33.4,8.07,928,7.07,2.741,0.743
P07,1582,N,36.0,7.26,900,6.97,2.843,0.304
P08,1691,W,8.8,6.95,1042,7.16,2.771,0.945
P09,1735,W,39.3,6.98,951,7.15,2.497,0.708
P10,1760,N,34.1,6.82,931,6.83,2.547,0.646
P11,1770,E,26.4,6.66,946,6.78,2.667,0.316
P12,1799,S,6.2,6.53,938,6.75,2.275,0.496
P13,1835,E,32.6,4.55,1009,6.9,2.752,0.534
P14,1863,E,13.9,4.99,903,6.85,2.811,0.418
P15,1866,N,35.8,5.87,898,6.95,2.704,0.543
P16,1920,N,29.1,4.72,970,6.77,2.102,0.706
P17,1999,N,19.8,5.31,938,6.64,2.552,0.602
P18,2010,W,5.8,4.62,918,6.73,2.122,0.462
P19,2032,E,26.0,4.09,858,6.61,2.667,1.0
P20,2074,S,30.2,4.82,954,6.76,2.025,0.338
P21,2170,S,36.5,3.63,933,6.65,2.129,0.607
P22,2198,S,7.1,3.33,1019,6.64,2.47,0.65
P23,2223,W,26.9,3.87,912,6.61,2.1,0.499
P24,2225,N,9.2,3.47,988,6.48,1.832,0.425
P25,2231,N,35.0,3.04,965,6.28,2.164,0.214
P26,2303,N,10.9,2.65,939,6.67,2.434,0.225
P27,2324,E,23.2,2.31,1039,6.62,2.098,0.465
P28,2388,W,29.3,3.23,1053,6.3,2.083,0.375
P29,2421,N,10.4,2.91,968,6.52,2.321,0.189
P30,2436,W,33.8,2.31,974,6.39,2.278,0.083
P31,2515,E,11.7,1.54,886,6.3,2.488,0.257
P32,2516,E,19.0,2.0,1038,6.31,2.41,0.075
P33,2551,N,5.6,1.52,987,6.15,2.153,0.307
P34,2568,E,14.6,1.81,1054,6.25,2.07,0.775
P35,2615,S,28.1,1.47,978,6.24,2.405,0.733
P36,2659,W,32.0,0.97,1031,6.22,2.031,0.383
P37,2686,W,29.2,0.68,1029,6.08,1.933,0.474
P38,2719,N,22.6,0.83,1034,6.2,2.23,0.199
P39,2752,N,23.2,0.39,989,6.03,1.999,0.231
P40,2861,E,10.1,-0.93,987,5.96,1.755,0.027
