plot_id,Dryas_octopetala,Carex_firma,Sesleria_caerulea,Aster_alpinus,Androsace_helvetica,Saxifraga_oppositifolia,Festuca_rubra,Poa_alpina,Deschampsia_cespitosa,Nardus_stricta,Agrostis_capillaris,Phleum_alpinum,Rumex_alpinus,Chenopodium_bonus,Stellaria_media,Polygonum_viviparum,Ranunculus_acris,Veronica_alpina,Vaccinium_myrtillus,Rhododendron_ferrugineum,Calluna_vulgaris,Empetrum_nigrum,Loiseleuria_procumbens,Arctostaphylos_uva_ursi,Crocus_albiflorus,Narcissus_poeticus,Lilium_martagon,Gentiana_nivalis,Soldanella_alpina,Anemone_narcissiflora
P01,0.0,0.141,0.0,0.0,0.0,0.0,0.0299,0.0641,0.0064,0.062,0.0,0.0064,0.1197,0.0769,0.1154,0.0,0.0385,0.0385,0.0,0.0897,0.0,0.0085,0.0,0.0,0.0876,0.0,0.0,0.1154,0.0,0.0
P02,0.0,0.0,0.0,0.0,0.0,0.0,0.0295,0.1263,0.1221,0.0695,0.0,0.0947,0.0105,0.0379,0.1368,0.0653,0.1874,0.0463,0.0,0.0295,0.0,0.0,0.0,0.0,0.0147,0.0,0.0,0.0295,0.0,0.0
P03,0.0,0.0288,0.0,0.0,0.0,0.0,0.0234,0.0845,0.0414,0.018,0.0,0.0054,0.0809,0.0396,0.0558,0.027,0.0504,0.1025,0.0342,0.1133,0.0,0.0,0.0,0.0054,0.0108,0.0,0.0647,0.1691,0.045,0.0
P04,0.0,0.0732,0.0,0.0,0.0,0.0,0.0696,0.0268,0.0804,0.025,0.0,0.0179,0.0161,0.0179,0.0393,0.0786,0.0696,0.0232,0.1768,0.0143,0.0,0.0,0.0,0.1196,0.0464,0.0,0.0,0.0589,0.0464,0.0
P05,0.0,0.0628,0.0,0.0336,0.0,0.0108,0.039,0.0098,0.0065,0.0119,0.0,0.1798,0.1658,0.0108,0.0433,0.0238,0.0758,0.0358,0.0152,0.0076,0.0054,0.0758,0.0,0.0661,0.0325,0.0,0.0108,0.0119,0.065,0.0
P06,0.0,0.0508,0.0,0.0,0.0,0.0,0.0218,0.046,0.1453,0.0823,0.0,0.0097,0.0218,0.0194,0.0436,0.0218,0.0291,0.1162,0.0581,0.0654,0.0145,0.0073,0.0,0.0097,0.0484,0.0,0.0969,0.092,0.0,0.0
P07,0.0,0.0078,0.0,0.0,0.0,0.0171,0.1589,0.0265,0.0374,0.0452,0.0,0.0062,0.1293,0.0545,0.0249,0.0202,0.0156,0.0109,0.0343,0.0031,0.0327,0.0327,0.0,0.1059,0.0498,0.0,0.0903,0.0514,0.0452,0.0
P08,0.0,0.0,0.0,0.0,0.0,0.022,0.1062,0.02,0.0361,0.008,0.0481,0.0441,0.0601,0.0261,0.024,0.012,0.0541,0.0681,0.0581,0.0321,0.0,0.0381,0.0541,0.006,0.02,0.0,0.0701,0.1503,0.0421,0.0
P09,0.0,0.0156,0.0,0.0071,0.0,0.0256,0.0398,0.0142,0.0128,0.0923,0.0199,0.0071,0.0057,0.3153,0.0057,0.0597,0.0412,0.0369,0.0099,0.0369,0.0071,0.081,0.0298,0.0582,0.0554,0.0,0.0128,0.0099,0.0,0.0
P10,0.0,0.0968,0.0,0.0,0.0,0.0605,0.0524,0.0685,0.0262,0.0927,0.0202,0.0302,0.0262,0.0343,0.0403,0.0161,0.0565,0.0222,0.0625,0.0403,0.0323,0.0323,0.006,0.0302,0.0282,0.0,0.0242,0.0161,0.0847,0.0
P11,0.0,0.0144,0.0,0.0777,0.0,0.0255,0.0044,0.0133,0.0277,0.0189,0.0222,0.0943,0.0111,0.0289,0.1454,0.0544,0.0322,0.0,0.1754,0.0133,0.0133,0.0433,0.0,0.0866,0.0222,0.02,0.0166,0.0211,0.0178,0.0
P12,0.0,0.015,0.0,0.0,0.0,0.0922,0.0565,0.0115,0.0415,0.0184,0.0023,0.053,0.1463,0.0288,0.0253,0.0645,0.0081,0.0023,0.0069,0.0081,0.0449,0.1048,0.0323,0.0369,0.0841,0.0207,0.0104,0.0599,0.0253,0.0
P13,0.0256,0.0208,0.0,0.0641,0.0417,0.024,0.0208,0.0449,0.0128,0.0256,0.0272,0.0208,0.1138,0.0144,0.0128,0.0337,0.0288,0.0,0.0465,0.0689,0.0978,0.016,0.0304,0.0256,0.0577,0.0,0.0673,0.0288,0.0288,0.0
P14,0.0,0.0898,0.0,0.0523,0.0,0.0121,0.0188,0.0121,0.0603,0.0563,0.0442,0.0536,0.0349,0.0965,0.0295,0.0402,0.004,0.0,0.0134,0.0121,0.0147,0.0402,0.0214,0.008,0.0496,0.0107,0.0134,0.0576,0.1273,0.0268
P15,0.0,0.0455,0.0,0.0872,0.0,0.0319,0.0307,0.0663,0.0135,0.0197,0.2174,0.0356,0.0737,0.0172,0.0123,0.0172,0.0405,0.0,0.0221,0.0147,0.0209,0.0221,0.0086,0.0614,0.0147,0.0332,0.0246,0.0393,0.0295,0.0
P16,0.0,0.0067,0.0,0.0135,0.0,0.1373,0.0108,0.0108,0.039,0.0242,0.0754,0.0188,0.0256,0.0336,0.0094,0.0135,0.0215,0.0,0.1427,0.0175,0.0054,0.0336,0.0269,0.0915,0.0081,0.0969,0.0525,0.0565,0.0162,0.0121
P17,0.0,0.0322,0.0,0.0175,0.0,0.0424,0.0278,0.0161,0.0161,0.1316,0.0322,0.0,0.0599,0.0132,0.0322,0.0468,0.0468,0.0,0.0132,0.0058,0.0585,0.0351,0.0395,0.0468,0.0512,0.0088,0.0234,0.0161,0.1681,0.019
P18,0.0086,0.0601,0.027,0.0245,0.0,0.0785,0.0086,0.0172,0.1423,0.0184,0.0196,0.0,0.0479,0.0147,0.0074,0.0196,0.0552,0.0,0.0479,0.1288,0.0503,0.0172,0.0552,0.0147,0.0135,0.0135,0.0748,0.011,0.0074,0.016
P19,0.0,0.0304,0.0,0.0371,0.0,0.1406,0.0292,0.027,0.0067,0.045,0.0304,0.0,0.0292,0.0349,0.045,0.027,0.0326,0.0,0.036,0.009,0.0304,0.153,0.0517,0.0056,0.0371,0.1136,0.0101,0.0135,0.0124,0.0124
P20,0.0,0.193,0.0,0.0078,0.0065,0.0972,0.0065,0.079,0.0246,0.0039,0.0142,0.0,0.0142,0.0479,0.0415,0.013,0.0155,0.0,0.0117,0.0065,0.0777,0.0155,0.0233,0.0972,0.0376,0.0596,0.013,0.0142,0.0246,0.0544
P21,0.0201,0.0105,0.0278,0.0086,0.0373,0.0163,0.0153,0.023,0.0086,0.0086,0.023,0.0,0.0134,0.1541,0.0124,0.0153,0.0077,0.0,0.0,0.1024,0.2632,0.0297,0.0833,0.0105,0.0057,0.0057,0.0077,0.0211,0.0172,0.0517
P22,0.0586,0.0354,0.0259,0.1608,0.0177,0.0504,0.0272,0.0,0.0368,0.0272,0.0381,0.0,0.0422,0.0232,0.0341,0.03,0.0545,0.0,0.0,0.0463,0.0109,0.0095,0.0804,0.0559,0.0259,0.0286,0.015,0.0341,0.0232,0.0082
P23,0.1517,0.0073,0.0536,0.0309,0.0545,0.0054,0.1108,0.0,0.0109,0.0136,0.01,0.0,0.0445,0.0636,0.0436,0.0363,0.0509,0.0,0.0,0.0381,0.0064,0.0054,0.0291,0.0154,0.0,0.0073,0.079,0.1045,0.0064,0.0209
P24,0.0345,0.0603,0.0172,0.0216,0.0754,0.0237,0.056,0.0194,0.0108,0.0,0.0366,0.0,0.0022,0.0733,0.0603,0.0647,0.0,0.0,0.0,0.0,0.028,0.0668,0.0216,0.0474,0.0194,0.0453,0.0797,0.0388,0.0366,0.0603
