species,PFT,population_id,population_elevation,individual_id,SLA,LDMC,LeafN,Height
Dryas_octopetala,PFT_stress,Dry_1,2200.0,Dry_1_I1,13.42,318.5,20.53,4.4
Dryas_octopetala,PFT_stress,Dry_1,2200.0,Dry_1_I2,13.91,326.1,20.9,4.7
Dryas_octopetala,PFT_stress,Dry_1,2200.0,Dry_1_I3,12.89,305.3,21.08,5.1
Dryas_octopetala,PFT_stress,Dry_1,2200.0,Dry_1_I4,14.4,358.4,26.82,4.2
Dryas_octopetala,PFT_stress,Dry_1,2200.0,Dry_1_I5,13.95,351.9,20.84,5.5
Dryas_octopetala,PFT_stress,Dry_2,2314.0,Dry_2_I1,12.07,336.5,20.94,6.1
Dryas_octopetala,PFT_stress,Dry_2,2314.0,Dry_2_I2,12.33,363.2,22.26,4.6
Dryas_octopetala,PFT_stress,Dry_2,2314.0,Dry_2_I3,12.38,333.5,25.36,6.2
Dryas_octopetala,PFT_stress,Dry_2,2314.0,Dry_2_I4,11.67,329.2,23.48,5.2
Dryas_octopetala,PFT_stress,Dry_2,2314.0,Dry_2_I5,12.97,312.1,24.31,5.1
Dryas_octopetala,PFT_stress,Dry_3,2428.0,Dry_3_I1,14.23,338.9,22.94,5.0
Dryas_octopetala,PFT_stress,Dry_3,2428.0,Dry_3_I2,12.97,347.3,24.75,5.2
Dryas_octopetala,PFT_stress,Dry_3,2428.0,Dry_3_I3,13.39,335.9,22.1,6.2
Dryas_octopetala,PFT_stress,Dry_3,2428.0,Dry_3_I4,12.89,325.6,20.06,4.6
Dryas_octopetala,PFT_stress,Dry_3,2428.0,Dry_3_I5,12.9,294.7,22.45,6.2
Dryas_octopetala,PFT_stress,Dry_4,2542.0,Dry_4_I1,12.89,354.4,21.03,6.0
Dryas_octopetala,PFT_stress,Dry_4,2542.0,Dry_4_I2,13.42,325.9,25.65,4.9
Dryas_octopetala,PFT_stress,Dry_4,2542.0,Dry_4_I3,12.7,346.0,24.5,4.7
Dryas_octopetala,PFT_stress,Dry_4,2542.0,Dry_4_I4,13.09,312.2,19.21,4.3
Dryas_octopetala,PFT_stress,Dry_4,2542.0,Dry_4_I5,13.92,334.0,19.99,4.4
Dryas_octopetala,PFT_stress,Dry_5,2657.0,Dry_5_I1,13.83,313.4,21.27,5.3
Dryas_octopetala,PFT_stress,Dry_5,2657.0,Dry_5_I2,12.83,348.1,24.83,5.6
Dryas_octopetala,PFT_stress,Dry_5,2657.0,Dry_5_I3,13.79,349.1,24.0,4.7
Dryas_octopetala,PFT_stress,Dry_5,2657.0,Dry_5_I4,10.98,340.7,21.21,4.9
Dryas_octopetala,PFT_stress,Dry_5,2657.0,Dry_5_I5,11.18,375.7,23.81,4.7
Dryas_octopetala,PFT_stress,Dry_6,2771.0,Dry_6_I1,11.16,372.5,21.12,4.7
Dryas_octopetala,PFT_stress,Dry_6,2771.0,Dry_6_I2,11.27,352.8,22.39,6.2
Dryas_octopetala,PFT_stress,Dry_6,2771.0,Dry_6_I3,10.81,368.8,23.25,5.2
Dryas_octopetala,PFT_stress,Dry_6,2771.0,Dry_6_I4,11.69,359.2,20.61,5.1
Dryas_octopetala,PFT_stress,Dry_6,2771.0,Dry_6_I5,11.49,353.1,17.18,5.2
Dryas_octopetala,PFT_stress,Dry_7,2800.0,Dry_7_I1,10.84,343.1,18.72,4.6
Dryas_octopetala,PFT_stress,Dry_7,2800.0,Dry_7_I2,13.56,372.1,17.92,5.0
Dryas_octopetala,PFT_stress,Dry_7,2800.0,Dry_7_I3,13.47,364.3,20.92,5.7
Dryas_octopetala,PFT_stress,Dry_7,2800.0,Dry_7_I4,11.68,368.3,19.89,5.1
Dryas_octopetala,PFT_stress,Dry_7,2800.0,Dry_7_I5,10.48,342.3,22.98,5.3
Dryas_octopetala,PFT_stress,Dry_8,2800.0,Dry_8_I1,11.72,327.5,20.07,4.7
Dryas_octopetala,PFT_stress,Dry_8,2800.0,Dry_8_I2,11.24,311.3,24.06,5.7
Dryas_octopetala,PFT_stress,Dry_8,2800.0,Dry_8_I3,11.77,357.7,21.56,4.6
Dryas_octopetala,PFT_stress,Dry_8,2800.0,Dry_8_I4,10.09,341.7,20.04,4.5
Dryas_octopetala,PFT_stress,Dry_8,2800.0,Dry_8_I5,13.69,335.0,20.51,5.4
Sesleria_caerulea,PFT_stress,Ses_1,2029.0,Ses_1_I1,8.82,301.5,11.43,6.3
Sesleria_caerulea,PFT_stress,Ses_1,2029.0,Ses_1_I2,8.69,308.7,12.16,4.9
Sesleria_caerulea,PFT_stress,Ses_1,2029.0,Ses_1_I3,8.8,310.4,13.24,5.8
Sesleria_caerulea,PFT_stress,Ses_1,2029.0,Ses_1_I4,10.36,336.6,14.06,5.5
Sesleria_caerulea,PFT_stress,Ses_1,2029.0,Ses_1_I5,8.95,357.5,12.72,4.8
Sesleria_caerulea,PFT_stress,Ses_2,2143.0,Ses_2_I1,8.19,328.6,12.0,5.5
Sesleria_caerulea,PFT_stress,Ses_2,2143.0,Ses_2_I2,8.78,316.9,12.39,7.5
Sesleria_caerulea,PFT_stress,Ses_2,2143.0,Ses_2_I3,8.23,344.4,13.06,5.8
Sesleria_caerulea,PFT_stress,Ses_2,2143.0,Ses_2_I4,8.54,323.7,13.21,5.0
Sesleria_caerulea,PFT_stress,Ses_2,2143.0,Ses_2_I5,8.58,333.6,14.33,6.4
Sesleria_caerulea,PFT_stress,Ses_3,2257.0,Ses_3_I1,8.11,347.7,14.17,5.8
Sesleria_caerulea,PFT_stress,Ses_3,2257.0,Ses_3_I2,8.33,375.3,11.13,5.5
Sesleria_caerulea,PFT_stress,Ses_3,2257.0,Ses_3_I3,8.92,346.0,12.35,6.0
Sesleria_caerulea,PFT_stress,Ses_3,2257.0,Ses_3_I4,8.11,319.9,13.16,5.1
Sesleria_caerulea,PFT_stress,Ses_3,2257.0,Ses_3_I5,8.54,312.5,14.29,5.4
Sesleria_caerulea,PFT_stress,Ses_4,2372.0,Ses_4_I1,7.73,339.4,12.33,4.6
Sesleria_caerulea,PFT_stress,Ses_4,2372.0,Ses_4_I2,8.29,315.3,12.59,6.9
Sesleria_caerulea,PFT_stress,Ses_4,2372.0,Ses_4_I3,8.23,258.5,12.73,4.9
Sesleria_caerulea,PFT_stress,Ses_4,2372.0,Ses_4_I4,6.77,343.5,12.64,6.0
Sesleria_caerulea,PFT_stress,Ses_4,2372.0,Ses_4_I5,8.44,334.1,14.93,5.9
Sesleria_caerulea,PFT_stress,Ses_5,2486.0,Ses_5_I1,6.58,287.1,12.92,5.1
Sesleria_caerulea,PFT_stress,Ses_5,2486.0,Ses_5_I2,7.86,322.1,11.4,5.1
Sesleria_caerulea,PFT_stress,Ses_5,2486.0,Ses_5_I3,8.46,348.0,12.02,5.9
Sesleria_caerulea,PFT_stress,Ses_5,2486.0,Ses_5_I4,7.91,302.7,12.6,6.1
Sesleria_caerulea,PFT_stress,Ses_5,2486.0,Ses_5_I5,8.0,349.3,13.33,5.9
Sesleria_caerulea,PFT_stress,Ses_6,2600.0,Ses_6_I1,6.63,342.9,12.03,5.4
Sesleria_caerulea,PFT_stress,Ses_6,2600.0,Ses_6_I2,7.31,331.6,12.86,5.7
Sesleria_caerulea,PFT_stress,Ses_6,2600.0,Ses_6_I3,6.81,315.0,11.22,4.2
Sesleria_caerulea,PFT_stress,Ses_6,2600.0,Ses_6_I4,7.7,337.3,13.07,5.3
Sesleria_caerulea,PFT_stress,Ses_6,2600.0,Ses_6_I5,7.92,341.2,12.72,5.9
Sesleria_caerulea,PFT_stress,Ses_7,2715.0,Ses_7_I1,8.69,308.1,11.79,5.7
Sesleria_caerulea,PFT_stress,Ses_7,2715.0,Ses_7_I2,6.72,363.3,11.9,5.3
Sesleria_caerulea,PFT_stress,Ses_7,2715.0,Ses_7_I3,7.77,366.3,12.05,5.9
Sesleria_caerulea,PFT_stress,Ses_7,2715.0,Ses_7_I4,7.2,370.4,12.11,5.1
Sesleria_caerulea,PFT_stress,Ses_7,2715.0,Ses_7_I5,7.55,345.5,11.87,4.8
Sesleria_caerulea,PFT_stress,Ses_8,2800.0,Ses_8_I1,7.1,344.7,12.83,6.0
