site_id,Arapaima_gigas,Osteoglossum_bicirrhosum,Colossoma_macropomum,Piaractus_brachypomus,Cichla_ocellaris,Cichla_temensis,Serrasalmus_rhombeus,Pygocentrus_nattereri,Hoplias_malabaricus,Brycon_amazonicus,Astyanax_bimaculatus,Hypostomus_plecostomus,Pterygoplichthys_pardalis,Loricariichthys_nudirostris,Oxydoras_niger,Sorubim_lima,Pseudoplatystoma_fasciatum,Pseudoplatystoma_corruscans,Brachyplatystoma_rousseauxii,Boulengerella_cuvieri,Leporinus_fasciatus,Schizodon_fasciatus,Triportheus_angulatus,Mylossoma_duriventre,Hemiodus_unimaculatus,Prochilodus_nigricans,Semaprochilodus_insignis,Curimata_vittata,Electrophorus_electricus,Potamotrygon_motoro
S01,191,274,19,19,82,138,33,14,19,30,17,0,0,0,0,3,10,7,7,254,13,7,171,20,17,1,0,0,32,0
S02,59,142,5,8,22,32,23,8,11,44,33,0,0,0,0,4,7,10,18,227,28,16,139,8,43,2,3,0,181,0
S03,86,91,10,11,21,25,16,6,8,33,18,0,0,0,0,8,9,13,17,239,12,9,56,10,24,6,2,0,251,0
S04,13,9,3,4,4,6,13,14,3,45,94,0,2,1,0,4,5,1,11,278,28,13,59,4,63,11,4,3,221,0
S05,12,29,8,11,17,14,15,12,6,11,14,1,0,3,5,4,5,6,9,25,7,11,9,10,15,10,5,7,15,0
S06,9,1,3,6,0,3,5,4,6,23,30,5,2,9,2,28,5,6,34,250,6,7,5,2,21,5,5,3,250,0
S07,4,9,15,10,15,25,19,16,14,3,1,22,31,11,29,4,6,4,1,0,3,3,2,16,2,6,6,12,0,159
S08,0,4,3,9,4,1,6,6,6,8,3,81,86,126,25,9,7,6,5,0,6,9,2,8,7,16,12,23,7,40
S09,4,2,8,7,11,4,6,6,7,4,0,149,188,180,76,9,9,2,0,0,2,7,0,5,1,13,17,25,0,225
S10,0,0,5,7,2,8,12,18,8,1,10,168,281,234,38,6,0,0,0,0,8,6,3,19,9,28,31,122,0,254
S11,0,0,5,6,6,3,2,9,7,0,0,234,251,277,185,9,4,4,1,0,1,4,0,13,0,14,25,85,0,256
S12,0,0,4,9,2,2,0,2,5,0,2,267,254,239,167,41,11,8,6,0,0,4,0,2,3,6,17,52,4,234
