individual_id,species,population,river,habitat,TL_mm,landmark,x,y
Cichl_Tap_01,Cichla_ocellaris,Tapajos,Tapajos,fast,507.64164017949474,1,-0.011,0.6102
Cichl_Tap_01,Cichla_ocellaris,Tapajos,Tapajos,fast,594.7593099659009,2,0.1199,0.4416
Cichl_Tap_01,Cichla_ocellaris,Tapajos,Tapajos,fast,428.0961067053905,3,0.1737,0.6487
Cichl_Tap_01,Cichla_ocellaris,Tapajos,Tapajos,fast,413.5158174891949,4,0.2162,0.6345
Cichl_Tap_01,Cichla_ocellaris,Tapajos,Tapajos,fast,600.0127846215948,5,0.3643,0.8429
Cichl_Tap_01,Cichla_ocellaris,Tapajos,Tapajos,fast,598.5025739701831,6,0.3362,0.2687
Cichl_Tap_01,Cichla_ocellaris,Tapajos,Tapajos,fast,454.6477419772458,7,0.5845,0.9266
Cichl_Tap_01,Cichla_ocellaris,Tapajos,Tapajos,fast,458.44511991152154,8,0.7022,0.083
Cichl_Tap_01,Cichla_ocellaris,Tapajos,Tapajos,fast,550.1767266120327,9,0.9296,0.6364
Cichl_Tap_01,Cichla_ocellaris,Tapajos,Tapajos,fast,502.81282342383093,10,0.9395,0.4319
Cichl_Tap_01,Cichla_ocellaris,Tapajos,Tapajos,fast,577.3981262400089,11,1.2486,0.7161
Cichl_Tap_01,Cichla_ocellaris,Tapajos,Tapajos,fast,477.6534020081138,12,1.2443,0.2742
Cichl_Tap_02,Cichla_ocellaris,Tapajos,Tapajos,fast,607.6953008601869,1,0.0009,0.5979
Cichl_Tap_02,Cichla_ocellaris,Tapajos,Tapajos,fast,613.5777674019103,2,0.1121,0.4426
Cichl_Tap_02,Cichla_ocellaris,Tapajos,Tapajos,fast,593.0684785740185,3,0.146,0.6228
Cichl_Tap_02,Cichla_ocellaris,Tapajos,Tapajos,fast,477.847457699313,4,0.2117,0.628
Cichl_Tap_02,Cichla_ocellaris,Tapajos,Tapajos,fast,417.7551430913291,5,0.3438,0.8489
Cichl_Tap_02,Cichla_ocellaris,Tapajos,Tapajos,fast,505.649130113813,6,0.3384,0.2653
Cichl_Tap_02,Cichla_ocellaris,Tapajos,Tapajos,fast,481.0643890926216,7,0.546,0.9413
