species;iucn_status
Arapaima_gigas;EN
Osteoglossum_bicirrhosum;LC
Colossoma_macropomum;VU
Piaractus_brachypomus;LC
Cichla_ocellaris;LC
Cichla_temensis;LC
Serrasalmus_rhombeus;LC
Pygocentrus_nattereri;LC
Hoplias_malabaricus;LC
Brycon_amazonicus;NT
Astyanax_bimaculatus;LC
Hypostomus_plecostomus;LC
Pterygoplichthys_pardalis;LC
Loricariichthys_nudirostris;LC
Oxydoras_niger;NT
Sorubim_lima;NT
Pseudoplatystoma_fasciatum;EN
Pseudoplatystoma_corruscans;VU
Brachyplatystoma_rousseauxii;CR
Boulengerella_cuvieri;LC
Leporinus_fasciatus;LC
Schizodon_fasciatus;LC
Triportheus_angulatus;LC
Mylossoma_duriventre;LC
Hemiodus_unimaculatus;DD
Prochilodus_nigricans;LC
Semaprochilodus_insignis;LC
Curimata_vittata;DD
Electrophorus_electricus;LC
Potamotrygon_motoro;VU
