species,individual_id,TL_mm,BD_mm,BW_mm,ED_mm,MH_mm,MW_mm,HMd_mm,PH_mm,PA_mm2,CFL_mm,CFA_mm2,CPL_mm,PFP_mm,BD_CP_mm
Cichla_ocellaris,Cichl_01,482.2,135.82,73.42,22.73,32.18,38.62,81.49,63.52,2305.93,82.34,4842.45,290.4,61.12,47.54
Cichla_ocellaris,Cichl_02,504.4,142.08,76.8,23.78,33.67,40.4,85.25,66.45,2523.46,86.13,5299.26,303.79,63.94,49.73
Cichla_ocellaris,Cichl_03,563.1,158.61,85.73,26.54,37.58,45.1,95.16,74.18,3144.56,96.15,6603.58,339.12,71.37,55.51
Cichla_ocellaris,Cichl_04,485.2,136.67,73.87,22.87,32.38,38.86,82.0,63.92,2334.79,82.85,4903.06,292.21,61.5,47.83
Cichla_ocellaris,Cichl_05,603.2,169.93,91.85,28.43,40.27,48.32,101.96,79.48,3609.37,103.01,7579.68,363.32,76.47,59.47
Colossoma_macropomum,Colos_01,684.7,441.73,284.99,59.26,92.31,110.78,220.87,188.06,24390.95,382.55,73172.84,1117.5,242.95,154.61
Colossoma_macropomum,Colos_02,738.6,476.53,307.44,63.93,99.58,119.5,238.27,202.88,28385.24,412.69,85155.73,1205.54,262.09,166.79
Colossoma_macropomum,Colos_03,871.8,562.43,362.86,75.46,117.54,141.04,281.21,239.44,39540.57,487.08,118621.72,1422.84,309.34,196.85
Colossoma_macropomum,Colos_04,816.4,526.7,339.8,70.66,110.07,132.08,263.35,224.23,34676.02,456.13,104028.06,1332.45,289.68,184.34
Colossoma_macropomum,Colos_05,920.3,593.77,383.07,79.66,124.08,148.9,296.88,252.79,44069.65,514.22,132208.94,1502.12,326.57,207.82
Hoplias_malabaricus,Hopli_01,461.1,108.49,77.5,15.34,28.42,34.11,59.67,40.23,1471.34,49.33,2317.36,194.08,52.08,37.97
Hoplias_malabaricus,Hopli_02,413.9,97.39,69.57,13.77,25.51,30.62,53.57,36.11,1185.68,44.28,1867.45,174.22,46.75,34.09
Hoplias_malabaricus,Hopli_03,460.4,108.34,77.38,15.32,28.38,34.06,59.59,40.17,1467.17,49.26,2310.79,193.8,52.0,37.92
Hoplias_malabaricus,Hopli_04,527.9,124.21,88.72,17.57,32.54,39.05,68.32,46.06,1928.67,56.48,3037.65,222.2,59.62,43.48
Hoplias_malabaricus,Hopli_05,385.9,90.81,64.86,12.84,23.79,28.55,49.94,33.67,1030.7,41.29,1623.35,162.44,43.59,31.78
Hypostomus_plecostomus,Hypos_01,406.4,119.52,108.66,13.09,13.35,16.02,11.95,43.3,1785.73,64.69,3348.25,174.58,101.59,41.83
Hypostomus_plecostomus,Hypos_02,320.8,94.35,85.78,10.34,10.54,12.65,9.44,34.18,1112.81,51.07,2086.53,137.81,80.2,33.02
Hypostomus_plecostomus,Hypos_03,418.4,123.06,111.87,13.48,13.75,16.5,12.31,44.58,1892.98,66.61,3549.35,179.74,104.6,43.07
Hypostomus_plecostomus,Hypos_04,281.4,82.75,75.23,9.07,9.24,11.09,8.28,29.98,856.02,44.79,1605.03,120.87,70.34,28.96
Hypostomus_plecostomus,Hypos_05,351.2,103.29,93.9,11.31,11.54,13.85,10.33,37.42,1333.61,55.91,2500.53,150.87,87.8,36.15
Brycon_amazonicus,Bryco_01,459.0,155.61,107.31,26.95,26.07,31.29,85.58,74.83,3026.64,151.6,10214.89,393.65,80.91,54.46
Brycon_amazonicus,Bryco_02,506.2,171.59,118.34,29.72,28.75,34.5,94.37,82.51,3680.33,167.18,12421.11,434.09,89.23,60.06
Brycon_amazonicus,Bryco_03,459.4,155.74,107.41,26.98,26.1,31.32,85.66,74.9,3032.05,151.74,10233.18,394.01,80.99,54.51
Brycon_amazonicus,Bryco_04,506.9,171.84,118.51,29.76,28.79,34.55,94.51,82.64,3691.2,167.42,12457.81,434.73,89.36,60.14
Brycon_amazonicus,Bryco_05,562.6,190.72,131.53,33.03,31.96,38.35,104.9,91.71,4546.76,185.81,15345.31,482.49,99.17,66.75
Pygocentrus_nattereri,Pygoc_01,242.4,134.69,107.76,26.26,30.09,36.11,67.35,59.29,2267.82,99.15,5782.95,298.86,67.35,47.14
Pygocentrus_nattereri,Pygoc_02,202.5,112.48,89.98,21.93,25.13,30.15,56.24,49.51,1581.39,82.8,4032.54,249.56,56.24,39.37
Pygocentrus_nattereri,Pygoc_03,221.0,122.76,98.21,23.93,27.43,32.91,61.38,54.04,1883.79,90.37,4803.67,272.38,61.38,42.97
Pygocentrus_nattereri,Pygoc_04,246.5,136.93,109.55,26.69,30.59,36.71,68.47,60.27,2343.87,100.8,5976.86,303.83,68.47,47.93
Pygocentrus_nattereri,Pygoc_05,284.8,158.21,126.57,30.84,35.34,42.41,79.1,69.64,3128.69,116.46,7978.17,351.03,79.1,55.37
Astyanax_bimaculatus,Astya_01,124.0,39.38,24.61,9.23,6.22,7.46,23.63,19.44,193.82,40.92,697.76,105.01,19.69,13.78
Astyanax_bimaculatus,Astya_02,133.6,42.4,26.5,9.94,6.7,8.04,25.44,20.93,224.75,44.07,809.1,113.07,21.2,14.84
Astyanax_bimaculatus,Astya_03,140.8,44.69,27.93,10.48,7.06,8.47,26.82,22.07,249.69,46.45,898.9,119.18,22.35,15.64
Astyanax_bimaculatus,Astya_04,116.6,37.02,23.13,8.68,5.85,7.02,22.21,18.27,171.27,38.47,616.56,98.71,18.51,12.96
Astyanax_bimaculatus,Astya_05,116.8,37.07,23.17,8.69,5.86,7.03,22.24,18.3,171.79,38.53,618.46,98.86,18.54,12.98
Boulengerella_cuvieri,Boule_01,784.5,92.29,47.33,19.58,17.86,21.43,78.45,36.48,1064.69,83.92,3353.76,330.19,41.53,32.3
Boulengerella_cuvieri,Boule_02,832.0,97.88,50.2,20.76,18.94,22.73,83.2,38.69,1197.65,89.01,3772.6,350.2,44.05,34.26
