individual_id,species,population,river,habitat,TL_mm
Cichl_Tap_01,Cichla_ocellaris,Tapajos,Tapajos,fast,507.64164017949474
Cichl_Tap_02,Cichla_ocellaris,Tapajos,Tapajos,fast,607.6953008601869
Cichl_Tap_03,Cichla_ocellaris,Tapajos,Tapajos,fast,504.6120322488088
Cichl_Tap_04,Cichla_ocellaris,Tapajos,Tapajos,fast,612.0044029307692
Cichl_Tap_05,Cichla_ocellaris,Tapajos,Tapajos,fast,565.6957958912664
Cichl_Tap_06,Cichla_ocellaris,Tapajos,Tapajos,fast,409.0186739008297
Cichl_Tap_07,Cichla_ocellaris,Tapajos,Tapajos,fast,482.8222324170731
Cichl_Tap_08,Cichla_ocellaris,Tapajos,Tapajos,fast,588.4810822099643
Cichl_Tap_09,Cichla_ocellaris,Tapajos,Tapajos,fast,448.61861140309605
Cichl_Tap_10,Cichla_ocellaris,Tapajos,Tapajos,fast,514.0551094395513
Cichl_Tap_11,Cichla_ocellaris,Tapajos,Tapajos,fast,624.4526332448471
Cichl_Tap_12,Cichla_ocellaris,Tapajos,Tapajos,fast,577.772334362519
Cichl_Xin_01,Cichla_ocellaris,Xingu,Xingu,fast,442.9465608081181
Cichl_Xin_02,Cichla_ocellaris,Xingu,Xingu,fast,462.062253578423
Cichl_Xin_03,Cichla_ocellaris,Xingu,Xingu,fast,503.8428641346145
Cichl_Xin_04,Cichla_ocellaris,Xingu,Xingu,fast,506.6856759081668
Cichl_Xin_05,Cichla_ocellaris,Xingu,Xingu,fast,488.16848992043435
Cichl_Xin_06,Cichla_ocellaris,Xingu,Xingu,fast,536.0523823443173
Cichl_Xin_07,Cichla_ocellaris,Xingu,Xingu,fast,604.7553911314408
Cichl_Xin_08,Cichla_ocellaris,Xingu,Xingu,fast,547.0980738365155
Cichl_Xin_09,Cichla_ocellaris,Xingu,Xingu,fast,481.79959320543924
Cichl_Xin_10,Cichla_ocellaris,Xingu,Xingu,fast,487.7737741606129
Cichl_Xin_11,Cichla_ocellaris,Xingu,Xingu,fast,437.28559657991246
Cichl_Xin_12,Cichla_ocellaris,Xingu,Xingu,fast,621.2164210500408
Cichl_Toc_01,Cichla_ocellaris,Tocantins,Tocantins,slow,587.9893584636069
Cichl_Toc_02,Cichla_ocellaris,Tocantins,Tocantins,slow,589.9635626735271
Cichl_Toc_03,Cichla_ocellaris,Tocantins,Tocantins,slow,432.43816730893127
Cichl_Toc_04,Cichla_ocellaris,Tocantins,Tocantins,slow,489.6466930256733
Cichl_Toc_05,Cichla_ocellaris,Tocantins,Tocantins,slow,431.20170418777377
Cichl_Toc_06,Cichla_ocellaris,Tocantins,Tocantins,slow,599.2303315959654
Cichl_Toc_07,Cichla_ocellaris,Tocantins,Tocantins,slow,440.28652653226976
Cichl_Toc_08,Cichla_ocellaris,Tocantins,Tocantins,slow,587.2519532100076
Cichl_Toc_09,Cichla_ocellaris,Tocantins,Tocantins,slow,530.8291856112387
Cichl_Toc_10,Cichla_ocellaris,Tocantins,Tocantins,slow,616.12030015656
Cichl_Toc_11,Cichla_ocellaris,Tocantins,Tocantins,slow,580.9205530865909
Cichl_Toc_12,Cichla_ocellaris,Tocantins,Tocantins,slow,506.12447512026654
Cichl_Neg_01,Cichla_ocellaris,Negro,Negro,slow,559.7428941276191
Cichl_Neg_02,Cichla_ocellaris,Negro,Negro,slow,466.79972938908776
Cichl_Neg_03,Cichla_ocellaris,Negro,Negro,slow,451.87149455335634
Cichl_Neg_04,Cichla_ocellaris,Negro,Negro,slow,498.7238148428977
Cichl_Neg_05,Cichla_ocellaris,Negro,Negro,slow,455.1196529087213
Cichl_Neg_06,Cichla_ocellaris,Negro,Negro,slow,526.2564903246142
Cichl_Neg_07,Cichla_ocellaris,Negro,Negro,slow,588.1970133887036
Cichl_Neg_08,Cichla_ocellaris,Negro,Negro,slow,436.43816831701736
Cichl_Neg_09,Cichla_ocellaris,Negro,Negro,slow,521.6989702000601
Cichl_Neg_10,Cichla_ocellaris,Negro,Negro,slow,507.7724684656979
Cichl_Neg_11,Cichla_ocellaris,Negro,Negro,slow,607.0636766561448
Cichl_Neg_12,Cichla_ocellaris,Negro,Negro,slow,604.4063276861095
Hopli_Tap_01,Hoplias_malabaricus,Tapajos,Tapajos,fast,441.2300618352582
Hopli_Tap_02,Hoplias_malabaricus,Tapajos,Tapajos,fast,366.5644848597087
Hopli_Tap_03,Hoplias_malabaricus,Tapajos,Tapajos,fast,476.9188481777686
Hopli_Tap_04,Hoplias_malabaricus,Tapajos,Tapajos,fast,443.6009255017271
Hopli_Tap_05,Hoplias_malabaricus,Tapajos,Tapajos,fast,482.22619459903393
Hopli_Tap_06,Hoplias_malabaricus,Tapajos,Tapajos,fast,491.78223912545343
Hopli_Tap_07,Hoplias_malabaricus,Tapajos,Tapajos,fast,547.6552156783689
Hopli_Tap_08,Hoplias_malabaricus,Tapajos,Tapajos,fast,524.8012620598188
Hopli_Tap_09,Hoplias_malabaricus,Tapajos,Tapajos,fast,381.7300258213245
Hopli_Tap_10,Hoplias_malabaricus,Tapajos,Tapajos,fast,409.66497696288883
Hopli_Tap_11,Hoplias_malabaricus,Tapajos,Tapajos,fast,371.3554207976384
Hopli_Tap_12,Hoplias_malabaricus,Tapajos,Tapajos,fast,537.0955055235988
Hopli_Xin_01,Hoplias_malabaricus,Xingu,Xingu,fast,518.6556609845259
Hopli_Xin_02,Hoplias_malabaricus,Xingu,Xingu,fast,525.4198105680506
Hopli_Xin_03,Hoplias_malabaricus,Xingu,Xingu,fast,465.01006641714457
Hopli_Xin_04,Hoplias_malabaricus,Xingu,Xingu,fast,361.43286508050994
Hopli_Xin_05,Hoplias_malabaricus,Xingu,Xingu,fast,459.4811528183172
Hopli_Xin_06,Hoplias_malabaricus,Xingu,Xingu,fast,506.4577471068693
