site_id,river,habitat_type,current_velocity,water_depth,canopy_cover,pH,turbidity,conductivity,DO_mg_L,degradation,lat,lon
S01,Tapajos,forest,0.26,5.9,83.8,6.62,12.7,20.2,7.03,0.36,-1.403,-51.426
S02,Tapajos,forest,0.35,5.1,79.7,6.54,27.4,33.7,6.77,1.05,-1.831,-54.635
S03,Tapajos,mixed,0.35,5.6,75.7,6.38,37.7,30.9,5.16,1.7,-1.817,-54.557
S04,Tocantins,mixed,0.41,4.2,62.3,5.73,43.2,36.5,6.41,3.17,-2.974,-53.231
S05,Tocantins,mixed,0.3,4.3,52.9,5.97,53.7,44.2,6.25,3.26,-2.266,-50.597
S06,Tocantins,degraded,0.44,4.5,49.0,5.99,72.1,47.2,5.15,4.52,-3.198,-57.3
S07,Xingu,forest,0.2,3.9,47.7,5.98,101.9,48.5,5.67,4.6,-2.924,-54.105
S08,Xingu,mixed,0.3,3.5,36.8,6.13,115.8,52.2,4.36,6.25,-2.472,-53.868
S09,Xingu,degraded,0.24,3.9,24.9,5.76,112.9,62.4,4.1,7.07,-2.216,-52.774
S10,Negro,forest,0.22,2.1,31.8,5.91,118.8,76.0,5.23,7.22,-1.442,-50.11
S11,Negro,mixed,0.2,2.8,22.0,5.92,145.5,64.0,3.25,8.09,-2.793,-55.463
S12,Negro,degraded,0.3,3.4,16.6,5.85,150.7,61.8,3.43,8.79,-3.127,-53.023
