species,common_pt,family,order,trophic_guild,iucn_status,max_TL_cm
Arapaima_gigas,pirarucu,Arapaimidae,Osteoglossiformes,piscivore,DD,300
Osteoglossum_bicirrhosum,aruana,Osteoglossidae,Osteoglossiformes,surface_pred,LC,100
Colossoma_macropomum,tambaqui,Serrasalmidae,Characiformes,frugivore,NT,110
Piaractus_brachypomus,pirapitinga,Serrasalmidae,Characiformes,frugivore,LC,88
Cichla_ocellaris,tucunare-comum,Cichlidae,Cichliformes,piscivore,LC,74
Cichla_temensis,tucunare-acu,Cichlidae,Cichliformes,piscivore,LC,99
Serrasalmus_rhombeus,piranha-preta,Serrasalmidae,Characiformes,piscivore,LC,41
Pygocentrus_nattereri,piranha-vermelha,Serrasalmidae,Characiformes,piscivore,LC,35
Hoplias_malabaricus,traira,Erythrinidae,Characiformes,piscivore,LC,65
Brycon_amazonicus,matrincha,Bryconidae,Characiformes,omnivore,LC,80
Astyanax_bimaculatus,lambari,Characidae,Characiformes,omnivore,LC,17
Hypostomus_plecostomus,cascudo,Loricariidae,Siluriformes,detritivore,LC,50
Pterygoplichthys_pardalis,acari-bode,Loricariidae,Siluriformes,detritivore,LC,45
Loricariichthys_nudirostris,cascudo-chinelo,Loricariidae,Siluriformes,detritivore,LC,40
Oxydoras_niger,cuiu-cuiu,Doradidae,Siluriformes,invertivore,LC,100
Sorubim_lima,bico-de-pato,Pimelodidae,Siluriformes,piscivore,LC,60
Pseudoplatystoma_fasciatum,surubim-tigre,Pimelodidae,Siluriformes,piscivore,DD,130
Pseudoplatystoma_corruscans,pintado,Pimelodidae,Siluriformes,piscivore,VU,166
Brachyplatystoma_rousseauxii,dourada,Pimelodidae,Siluriformes,piscivore,DD,192
Boulengerella_cuvieri,bicuda,Ctenoluciidae,Characiformes,surface_pred,LC,100
Leporinus_fasciatus,aracu,Anostomidae,Characiformes,herbivore,LC,35
Schizodon_fasciatus,piau,Anostomidae,Characiformes,herbivore,LC,40
Triportheus_angulatus,sardinha,Triportheidae,Characiformes,omnivore,LC,25
Mylossoma_duriventre,pacu-manteiga,Serrasalmidae,Characiformes,frugivore,LC,35
Hemiodus_unimaculatus,ariduia,Hemiodontidae,Characiformes,omnivore,LC,20
Prochilodus_nigricans,curimba,Prochilodontidae,Characiformes,detritivore,LC,43
Semaprochilodus_insignis,jaraqui-escama-grossa,Prochilodontidae,Characiformes,detritivore,LC,35
Curimata_vittata,branquinha,Curimatidae,Characiformes,detritivore,LC,18
Electrophorus_electricus,poraque,Gymnotidae,Gymnotiformes,piscivore,LC,250
Potamotrygon_motoro,raia-cururu,Potamotrygonidae,Myliobatiformes,invertivore,DD,50
