species,Body_size,Body_elong,Body_comp,Pec_AR,Pec_pos,CP_throttle,Caud_AR,Mouth_pos,Oral_gape,Eye_size
Arapaima_gigas,3.4771212547196626,5.2,2.1,1.25,0.42,0.06,1.7,0.55,0.045,0.012
Osteoglossum_bicirrhosum,3.0,5.8,3.1,1.35,0.32,0.05,1.85,0.85,0.06,0.025
Colossoma_macropomum,3.041392685158225,1.55,1.55,1.45,0.55,0.1,2.0,0.5,0.07,0.018
Piaractus_brachypomus,2.9444826721501687,1.65,1.5,1.5,0.55,0.11,2.1,0.5,0.068,0.02
Cichla_ocellaris,2.8692317197309762,3.55,1.85,1.75,0.45,0.14,1.4,0.6,0.09,0.028
Cichla_temensis,2.9956351945975497,3.7,1.9,1.78,0.45,0.14,1.45,0.6,0.095,0.026
Serrasalmus_rhombeus,2.6127838567197355,1.85,1.3,1.55,0.5,0.12,1.65,0.55,0.085,0.04
Pygocentrus_nattereri,2.5440680443502757,1.8,1.25,1.55,0.5,0.13,1.7,0.5,0.08,0.038
Hoplias_malabaricus,2.8129133566428557,4.25,1.4,1.1,0.48,0.2,1.05,0.55,0.11,0.02
Brycon_amazonicus,2.9030899869919438,2.95,1.45,1.85,0.52,0.1,2.25,0.55,0.045,0.03
Astyanax_bimaculatus,2.230448921378274,3.15,1.6,1.95,0.5,0.09,2.4,0.6,0.04,0.055
Hypostomus_plecostomus,2.6989700043360187,3.4,1.1,1.05,0.85,0.3,1.25,0.1,0.02,0.012
Pterygoplichthys_pardalis,2.6532125137753435,3.3,1.05,1.05,0.88,0.32,1.2,0.1,0.02,0.011
Loricariichthys_nudirostris,2.6020599913279625,5.5,0.95,0.9,0.92,0.45,0.95,0.1,0.012,0.009
Oxydoras_niger,3.0,3.1,1.2,1.1,0.8,0.22,1.15,0.2,0.03,0.014
Sorubim_lima,2.7781512503836434,6.2,1.15,1.05,0.78,0.3,1.05,0.55,0.085,0.022
Pseudoplatystoma_fasciatum,3.113943352306837,4.9,1.3,1.15,0.75,0.25,1.2,0.55,0.105,0.018
Pseudoplatystoma_corruscans,3.220108088040055,5.1,1.3,1.15,0.75,0.25,1.2,0.55,0.108,0.017
Brachyplatystoma_rousseauxii,3.2833012287035497,5.3,1.25,1.2,0.72,0.18,1.55,0.55,0.09,0.015
Boulengerella_cuvieri,3.0,8.5,1.95,1.25,0.45,0.05,2.1,0.85,0.06,0.045
Leporinus_fasciatus,2.5440680443502757,3.45,1.5,1.55,0.55,0.13,1.9,0.65,0.03,0.04
Schizodon_fasciatus,2.6020599913279625,3.3,1.5,1.5,0.55,0.12,1.85,0.4,0.025,0.038
Triportheus_angulatus,2.3979400086720375,2.85,2.2,2.05,0.55,0.09,2.55,0.8,0.05,0.06
Mylossoma_duriventre,2.5440680443502757,1.35,1.8,1.5,0.6,0.1,2.0,0.5,0.045,0.045
Hemiodus_unimaculatus,2.3010299956639813,3.2,1.75,1.95,0.5,0.1,2.45,0.6,0.035,0.052
Prochilodus_nigricans,2.6334684555795866,2.95,1.65,1.55,0.55,0.13,1.95,0.3,0.03,0.03
Semaprochilodus_insignis,2.5440680443502757,2.85,1.6,1.55,0.55,0.12,1.95,0.3,0.028,0.032
Curimata_vittata,2.255272505103306,2.75,1.6,1.5,0.55,0.12,1.85,0.35,0.022,0.03
Electrophorus_electricus,3.3979400086720375,12.5,0.85,0.55,0.5,0.1,0.4,0.55,0.045,0.008
Potamotrygon_motoro,2.6989700043360187,0.95,0.45,1.85,0.95,0.55,0.2,0.1,0.025,0.018
