basin,Hoplias_malabaricus,Prochilodus_lineatus,Colossoma_macropomum,Serrasalmus_rhombeus,Brycon_amazonicus,Arapaima_gigas,Pterygoplichthys_pardalis,Crenicichla_saxatilis,Hydrolycus_scomberoides,Brachyplatystoma_flavicans,Pimelodus_maculatus,Cichla_ocellaris,Potamotrygon_motoro,Leporinus_fasciatus,Piaractus_brachypomus,Lepomis_macrochirus,Micropterus_salmoides,Ameiurus_nebulosus,Oncorhynchus_mykiss,Catostomus_commersonii,Perca_flavescens,Esox_lucius_NA,Salvelinus_fontinalis,Cyprinus_carpio_NA,Notropis_hudsonius,Dorosoma_cepedianum,Pomoxis_nigromaculatus,Ictalurus_punctatus,Moxostoma_macrolepidotum,Etheostoma_caeruleum,Gobio_gobio,Cottus_gobio,Leuciscus_leuciscus,Phoxinus_phoxinus,Barbatula_barbatula,Salmo_trutta,Esox_lucius_EU,Perca_fluviatilis,Anguilla_anguilla,Rutilus_rutilus,Chondrostoma_nasus,Thymallus_thymallus,Silurus_glanis,Cyprinus_carpio_EU,Barbus_barbus,Oreochromis_niloticus,Clarias_gariepinus,Hydrocynus_vittatus,Labeobarbus_intermedius,Schilbe_mystus,Synodontis_schall,Mormyrus_kannume,Tilapia_zillii,Barbus_bynni,Clarias_anguillaris,Lates_niloticus,Heterotis_niloticus,Hyperopisus_bebe,Citharinus_citharus,Distichodus_niloticus,Catla_catla,Labeo_rohita,Cirrhinus_mrigala,Mystus_seenghala,Wallago_attu,Tor_tor,Rita_rita,Bagarius_bagarius,Channa_marulius,Notopterus_notopterus,Mastacembelus_armatus,Aorichthys_aor,Bagarius_yarellii,Crossocheilus_latius,Garra_gotyla,Gadopsis_marmoratus,Melanotaenia_splendida,Neoceratodus_forsteri,Maccullochella_peelii,Ambassis_agassizii,Philypnodon_grandiceps,Mogurnda_mogurnda,Tandanus_tandanus,Galaxias_maculatus,Gobiomorphus_cotidianus,Retropinna_retropinna,Prototroctes_oxyrhynchus,Hypseleotris_compressa,Anguilla_australis,Melanotaenia_duboulayi
Neot_01,1,1,1,0,0,0,1,1,1,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
Neot_02,1,1,1,1,0,1,1,1,0,1,1,0,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Neot_03,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
Neot_04,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
Neot_05,1,0,1,1,1,1,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Neot_06,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Neot_07,0,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Neot_08,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Near_01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Near_02,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
