species,Realm,BL_mean,BD_ratio,HL_ratio,EyeD_ratio,MouthPos,FinArea_ratio,CaudalPed_ratio
Hoplias_malabaricus,Neotropical,52.96,0.13,0.24,0.07,0.74,0.26,0.23
Prochilodus_lineatus,Neotropical,11.52,0.26,0.19,0.07,0.51,0.09,0.11
Colossoma_macropomum,Neotropical,53.74,0.3,0.22,0.12,0.81,0.08,0.22
Serrasalmus_rhombeus,Neotropical,57.36,0.23,0.21,0.17,0.34,0.11,0.1
Brycon_amazonicus,Neotropical,68.56,0.32,0.34,0.14,0.54,0.34,0.14
Arapaima_gigas,Neotropical,46.4,0.39,0.3,0.16,0.58,0.27,0.09
Pterygoplichthys_pardalis,Neotropical,22.09,0.22,0.2,0.07,0.1,0.16,0.19
Crenicichla_saxatilis,Neotropical,32.36,0.24,0.22,0.08,0.94,0.25,0.18
Hydrolycus_scomberoides,Neotropical,17.84,0.36,0.21,0.09,0.99,0.25,0.17
Brachyplatystoma_flavicans,Neotropical,56.35,0.4,0.34,0.07,0.03,0.17,0.13
Pimelodus_maculatus,Neotropical,20.82,0.43,0.36,0.08,0.66,0.19,0.24
Cichla_ocellaris,Neotropical,39.41,0.21,0.23,0.12,0.26,0.24,0.23
Potamotrygon_motoro,Neotropical,34.96,0.19,0.38,0.11,0.09,0.09,0.1
Leporinus_fasciatus,Neotropical,52.06,0.38,0.26,0.05,0.38,0.35,0.17
Piaractus_brachypomus,Neotropical,77.83,0.4,0.18,0.14,0.68,0.22,0.13
Lepomis_macrochirus,Nearctic,53.07,0.16,0.27,0.1,0.95,0.32,0.12
Micropterus_salmoides,Nearctic,42.54,0.18,0.36,0.16,0.3,0.25,0.18
Ameiurus_nebulosus,Nearctic,16.46,0.37,0.29,0.15,0.53,0.08,0.14
Oncorhynchus_mykiss,Nearctic,6.46,0.43,0.36,0.16,0.31,0.1,0.23
Catostomus_commersonii,Nearctic,76.02,0.15,0.28,0.05,0.76,0.29,0.1
Perca_flavescens,Nearctic,40.65,0.3,0.23,0.16,0.42,0.14,0.17
Esox_lucius_NA,Nearctic,59.74,0.19,0.24,0.18,0.65,0.2,0.17
Salvelinus_fontinalis,Nearctic,14.08,0.19,0.25,0.12,0.23,0.14,0.09
Cyprinus_carpio_NA,Nearctic,52.33,0.2,0.36,0.16,0.07,0.14,0.19
Notropis_hudsonius,Nearctic,21.07,0.16,0.37,0.12,0.47,0.29,0.22
Dorosoma_cepedianum,Nearctic,19.28,0.15,0.27,0.1,0.47,0.28,0.19
Pomoxis_nigromaculatus,Nearctic,78.81,0.15,0.26,0.09,0.86,0.15,0.11
Ictalurus_punctatus,Nearctic,38.65,0.26,0.24,0.07,0.92,0.2,0.23
Moxostoma_macrolepidotum,Nearctic,46.27,0.14,0.38,0.16,0.97,0.33,0.22
Etheostoma_caeruleum,Nearctic,17.47,0.28,0.22,0.1,0.06,0.18,0.25
Gobio_gobio,Palearctic,24.89,0.38,0.27,0.1,0.96,0.35,0.17
Cottus_gobio,Palearctic,58.88,0.17,0.24,0.18,0.58,0.23,0.21
Leuciscus_leuciscus,Palearctic,9.29,0.31,0.28,0.16,0.16,0.34,0.09
Phoxinus_phoxinus,Palearctic,18.94,0.32,0.32,0.07,0.12,0.32,0.12
Barbatula_barbatula,Palearctic,49.59,0.32,0.26,0.12,0.52,0.33,0.11
Salmo_trutta,Palearctic,58.71,0.2,0.26,0.13,0.3,0.17,0.21
